SKU;BRAND;MODEL SEIRES;DESCRIPTION;RSP;2025-05-07 00:00:00.1;COST INC VAT
DIACEL005;CELTO;HFDN72-16-DK;Dia kit for HFDN72-16 (VT12/15/152- XL12/15- IWAC210/212- LA212SE- WM12);1958;1+;1631
DIACEL008;CELTO;HFD51-8-DK;Diaphragm kit for HFD51-8 (BT152 MK2/3);1017;1+;847
DIACEL011;CELTO;FCD44-8-DK;Diaphragm kit for FCD44-8 (PK15- PK152- AK15- FT15SE- FT152SE);339;0;282
DIACEL016;CELTO;ACD40-8-DK;Diaphragm kit for ACD40-8 (PM10G2- PM12G2- CT12G2- CT12V- CT15V- CMP10);926;1+;771
DIACEL017;CELTO;ACD45-8-DK;Diaphragm kit for ACD45-8;650;1+;541
DIACEL020;CELTO;PCD440-8-DK;Diaphragm kit for PCD440-8 (ALTIUM12- ALTIUM15- PK15UE);291;1+;242
DIACEL021;CELTO;ACD 45-16-DK;Diaphragm kit for ACD 45-16 (PLA10);966;1+;805
DIACEL022;CELTO;ACD44-8-DK;Diaphragm kit for ACD44-8 (CT12G3- CT15G2/G3- PM12G3- PM15G2/G3);926;1+;771
DIACEL023;CELTO;ACDN44-12-DK;Diaphragm kit for ACDN44-12 (IsoRay10- AEGIUM- CMP12);966;0;805
DIACEL025;CELTO;HF280-8-DK;Diaphragm kit for HF280-8;376;1+;313
DIACEL026;CELTO;FCD440P-8-DK;Diaphragm kit for FCD440P-8;586;0;488
DIACEL028;CELTO;NCD44-8-DK;Diaphragm kit for NCD44-8;1034;1+;861
DIAHYB001;HYBRID;HT20D;Replacement diaphragm for HT20- 34mm Voice coil- 8Ω- titanium dome;76;0;63
DIAHYB002;HYBRID;HT80D;Replacement diaphragm for HT80- 75mm Voice coil- 8Ω- titanium dome;230;1+;191
DIAHYB003;HYBRID;HT40D;Replacement diaphragm for HT40- 45mm Voice coil- 8Ω- titanium dome;100;0;83
DIAHYB008;HYBRID;HT60D;Replacement diaphragm for HT60- 50mm Voice coil- 8Ω- titanium dome;121;1+;100
DIBHYB001;HYBRID;DB01;Single channel passive DI box;181;1+;150
DIBHYB002;HYBRID;DB02;Dual channel passive DI box;299;<1;249
DIBHYB003;HYBRID;DA10;Single channel active DI box;461;1+;384
DIYHYB001;HYBRID+;FP-18-1000;"18"" bass-flat-pack-unassembled w 1200W woofer";6601;1+;5500
DIYHYB002;HYBRID+;FP-18-1200;"18"" bass-flat-pack-unassembled w 1000W woofer";7252;1+;6043
DRIBEY001;BEYMA;CP750/TI;"2""- 70W >0.8KHz- 110dB- 0.6-20KHz- 8Ω- Titanium";4232;1+;3526
DRIBEY002;BEYMA;CP755/TI;"1.4""- 70W >0.8KHz- 110dB- 0.6-20KHz- 8Ω- Titanium";3361;1+;2800
DRIBEY004;BEYMA;CP380/M;"1""- 70W >1.5KHz- 107dB- 0.8-20KHz- 8Ω- Polyester";2210;1+;1841
