"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"HER-GS523B","PSAGX0000125","Hercules Stands GS523B 3-pc Guitar Display Rack","25","R 1,509.00"
"HER-GS523BPLUS","PSAGX0000244","Hercules GS523BPLUS Guitar Display Rack For 3 Guitars","10","R 1,773.00"
"HER-GS525B","PSAGX0000129","Hercules Stands GS525B 5-pc Guitar Display Rack","16","R 1,803.00"
"HER-GS525BPLUS","PSAGX0000247","Hercules Stands GS525B PLUS 5-pc Guitar Display Rack w/casters","12","R 2,076.00"
"HER-MS533B","PSAMX0000077","Hercules Stands MS533B EZ Clutch Tripod Mic. Stand w/ Hideaway 2-in-1 Boom","29","R 1,216.00"
"ADA-S8B","S8B","Adam Hall Stands S8B - Tabletop microphone stand","25","R 383.00"
"ADA-SD913BLK","","Adam Hall SD913BLK Windshield for Dynamic Microphone","3","R 59.00"
"ADA-K3TMC0300","K3TMC0300","Adam Hall Cables K3 TMC 0300 - Audio Cable Moulded 2 x RCA Male to 2 x XLR Male 3 m","27","R 212.00"
"ADA-K3TMP0300","","Adam Hall Cables K3TMP0300 2 Mono Jack to 2 XLR Male","42","R 214.00"
"ADA-K3TPC0100M","","Adam Hall Cables K3TPC0100M 2 Mono Jack to 2 RCA 1M","43","R 110.00"
"ADA-K3TPC0600","K3TPC0600","Adam Hall Cables K3 TPC 0600 - Audio Cable 2 x RCA male to 2 x 6.3mm Jack mono 6m","17","R 263.00"
