"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"AMP-AC-NUT-METAL","AC-NUT-METAL","Amphenol Metal Backshell","144","R 150.00"
"AMP-AC-NUT-ORG","AC-NUT-ORG","Amphenol Orange Coloured Boot/Backshell","0","R 22.00"
"AMP-AC-NUT-RED","AC-NUT-RED","Amphenol Red Coloured Boot/Backshell","4","R 22.00"
"AMP-AC-NUT-VIO","AC-NUT-VIO","Amphenol Violet Coloured Boot/Backshell","20","R 22.00"
"AMP-AC-NUT-WHT","AC-NUT-WHT","Amphenol White Coloured Boot/Backshell","54","R 22.00"
"AMP-AC-NUT-YEL","AC-NUT-YEL","Amphenol Yellow Coloured Boot/Backshell","36","R 22.00"
"AMP-ACPM-GB","ACPM-GB","Amphenol Mono Jack Plug Diecast Shell Blck","0","R 62.00"
"AMP-ACPM-GN","ACPM-GN","Amphenol Mono Jack Plug Diecast Shell Sil","0","R 60.00"
"AMP-ACPM-KN","ACPM-KN","Amphenol M-SERIES II Mono Jack Plug Diecast Shell Sil","149","R 70.00"
"AMP-ACPM-RB","ACPM-RB","Amphenol Mono Jack Plug Diecast Shell Nickel 90deg angle","0","R 71.00"
"AMP-ACPM-RN","ACPM-RN","Amphenol Mono Jack Plug Diecast Shell Black 90deg angle","6","R 70.00"
"AMP-ACPR-BLK","ACPR-BLK","Amphenol RCA male, inline, gold plated contact, black","64","R 67.00"
"AMP-ACPR-RED","ACPR-RED","Amphenol RCA male, inline, gold plated contact, red","126","R 67.00"
"AMP-ACPR-WHT","ACPR-WHT","Amphenol RCA male, inline, gold plated contact, white","0","R 67.00"
"AMP-ACPR-YEL","ACPR-YEL","Amphenol RCA male, inline, gold plated contact, yellow","1","R 67.00"
"AMP-ACPS-GB","ACPS-GB","Amphenol Stereo Jack Plug Diecast Shell Blck","339","R 77.00"
"AMP-ACPS-GN","ACPS-GN","Amphenol Stereo Jack Plug Diecast Shell Sil","0","R 76.00"
"AMP-ACPS-KN","ACPS-KN","Amphenol M-SERIES II Stereo Jack Plug Diecast Shell Sil","625","R 84.00"
"AMP-ACPS-RB","ACPS-RB","Amphenol Stereo Jack Plug Diecast Shell Nickel 90deg angle","0","R 92.00"
"AMP-ACPS-RN","ACPS-RN","Amphenol Stereo Jack Plug Diecast Shell Black 90deg angle","68","R 91.00"
"AMP-AX3M","AX3M","Amphenol Male XLR 3 Inline, Chuck style cable clamp, Nickel","2014","R 83.00"
"AMP-AX5F","AX5F","Amphenol Female XLR 5 Inline, Machined contacts, Nickel finish","0","R 199.00"
"AMP-AX5M","AX5M","Amphenol Male XLR 5 Inline, Machined contacts, Nickel finish","0","R 116.00"
"AMP-AXX3F","AXX3F","Amphenol Female XLR 3 Inline, Chuck style cable clamp, Nickel (NEW second generation)","2575","R 91.00"
"AMP-EP-5-12","EP-5-12","#Amphenol EP Male inline, machined contacts, metal shell","4","R 347.00"
"AMP-EP-5-13P","EP-5-13P","#Amphenol EP Female chassis mount connector, round flange,machined","39","R 401.00"
"AMP-HP3F","HP3F","Amphenol HP Blue 3 pole inline","302","R 143.00"
"AMP-HP3FG","HP3FG","Amphenol HP Grey 3 pole inline","163","R 141.00"
"AMP-HP3MD","HP3MD","Amphenol 3 pole, Chassis connector D type keyed for power-in","88","R 62.00"
"AMP-HP3MDG","HP3MDG","Amphenol 3 pole Grey Chassis connector D type keyed for power-out","47","R 62.00"
