"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"AMP-TS3PBJ","TS3PBJ","Amphenol Stereo Jack Thermo Back Blck Case Large Clamp","0","R 113.00"
"AMP-TS3PJ","TS3PJ","Amphenol Stereo Jack Thermo Back Sil Case Large Clamp","0","R 112.00"
"ATL-AT-AVA-EX100CE-BP-KIT","AT-AVA-EX100CE-BP-KIT","Atlona Avance 4K/UHD extended distance HDMI Transmitter and Receiver Kit with RS-232 and IR pass-through and bi-directional power","0","R 18,041.00"
"ATL-AT-AVA-EX70-2PS-KIT","AT-AVA-EX70-2PS-KIT","#Atlona Avance 4K/UHD HDMI Transmitter and Receiver Kit","7","R 8,292.00"
"ATL-AT-AVA-EX70C-BP-KIT","AT-AVA-EX70C-BP-KIT","Atlona Avance 4K/UHD HDMI Transmitter and Receiver Kit with RS-232 and IR pass-through and bi-directional power","0","R 14,020.00"
"ATL-AT-CAP-FC110","AT-CAP-FC110","Atlona Captivate 4K ePTZ Auto-Framing Camera","0","R 10,054.00"
"ATL-AT-DISP-CTRL","AT-DISP-CTRL","Atlona 4K/UHD HDMI Display Controller","0","R 9,779.00"
"ATL-AT-ETU-SYNC","AT-ETU-SYNC","Atlona EDID Emulator for 4K HDR HDMI Signals","2","R 6,654.00"
"ATL-AT-GAIN-120","AT-GAIN-120","#Atlona 120W Amplifier, 4/8 Ohm x2, 70V/100V x1","1","R 17,913.00"
"ATL-AT-GAIN-60","AT-GAIN-60","Atlona 60W Amplifier, 4/8 Ohm x2, 24V/70V/100V x1, Plenum Rated","0","R 10,602.00"
"ATL-AT-GAIN-M120","AT-GAIN-M120","Atlona 120W Mixer Amplifier, 4/8 Ohm x2, 70V/100V x1","0","R 21,021.00"
"ATL-AT-GAIN-M240","AT-GAIN-M240","Atlona 240W Mixer Amplifier, 4/8 Ohm x2, 70V/100V x1","0","R 25,590.00"
"ATL-AT-GAIN-M50-LZ","AT-GAIN-M50-LZ","Atlona 50W Mixer Amplifier, 4/8 Ohm","0","R 8,226.00"
"ATL-AT-GAIN-NET","AT-GAIN-NET","Atlona Optional Dante/AES67 card for the AT-GAIN-120","1","R 6,398.00"
"ATL-AT-GAIN-VOL","AT-GAIN-VOL","Atlona GAIN Volume Control Wall Plate","0","R 914.00"
"ATL-AT-HDR-CAT-2","AT-HDR-CAT-2","Atlona 4K/HDR HDMI 2.0b HDBaseT HDMI 1 X 2 Distribution Amplifier","0","R 22,190.00"
"ATL-AT-HDR-CAT-4","AT-HDR-CAT-4","Atlona 4K/HDR HDMI 2.0b HDBaseT HDMI 1 X 4 Distribution Amplifier","0","R 35,589.00"
"ATL-AT-HDR-CAT-4ED","AT-HDR-CAT-4ED","Atlona 4K/HDR HDMI 2.0b HDBaseT HDMI 1 X 4 Extended Distance Distribution Amplifier","0","R 43,229.00"
"ATL-AT-HDR-CAT-8","AT-HDR-CAT-8","Atlona 4K/HDR HDMI 2.0b HDBaseT HDMI 1 X 8 Distribution Amplifier","0","R 59,954.00"
"ATL-AT-HDR-EX-100CEA-KIT","AT-HDR-EX-100CEA-KIT","#Atlona 4K HDR Transmitter and Receiver Set w/IR, RS-232, Ethernet, and PoE","4","R 19,376.00"
"ATL-AT-HDR-EX-100CEA-RX","AT-HDR-EX-100CEA-RX","Atlona Atlona 4K HDR Receiver w/IR, RS-232, Ethernet, and PoE.","0","R 9,688.00"
"ATL-AT-HDR-EX-100CEA-TX","AT-HDR-EX-100CEA-TX","Atlona Atlona 4K HDR Transmitter w/IR, RS-232, Ethernet, and PoE.","0","R 9,688.00"
